"","region","uid","wtp_new","wtp_second","wtp_bio","wtp_recycle","wtp_workers","female","age","people_living","education","income","i_clothes_fashion","i_clothes_versatile","i_clothes_need","i_clothes_size","i_clothes_fit","i_clothes_easy","i_clothes_quality","i_clothes_cheap","i_clothes_value","i_clothes_know","i_clothes_prestigious","i_clothes_environment","second_stuff_dummy","bio_item_dummy","second_clothes_dummy","bio_clothes_dummy","second_precovid","second_covid","second_postcovid","bio_postcovid","bioc_covid","bio_precovid","no_second_app","no_second_quality","no_second_shop","no_second_environment","no_second_clean","no_second_size","no_second_fashion","bio_eco","bio_vintage","bio_quality","bio_pollution","bio_peer","no_bio_app","no_bio_expensive","no_bio_shop","no_bio_environment","no_bio_rare","no_bio_style","no_bio_fashion","no_bio_quality","poll_chemical_synt","poll_chemical_nat","poll_dye","poll_water","poll_biodegradable","pro_recycle","pro_label","pro_brown_firms","pro_packaging","pro_pub_transport","pro_pack_reuse","pro_donation","pro_reuse","pro_second_clothes","pro_label_clothes","pro_temp_clothes","pro_quality_clothes","pro_bio1_clothes","pro_bio2_clothes","wtp_cert_quality","wtp_cert_bio","wtp_cert_recycle","wtp_cert_workers","wtp_cert_workers_env","sustainable_sector","sustainable_phases","second_eco","second_vintage","second_quality","second_endlife","second_pollution","second_peer","sustainable_fashion_item1","sustainable_fashion_item2","sustainable_fashion_item3","sustainable_fashion_item4","location","status","population_2023","km2","pop_density_p_km2","HDI_2022","capital","political_party","political_wing","president_2024","n_comunes","n_provinces"
"1","Abruzzo","0bf570e7-3305-4689-9c18-49ce8c34bd5e",10,3,10,7,10,"Female",56,2,"Postsecondary education","Preferisco non rispondere","Important","Important","Important","Important","Important","Important","Important","Moderately","Important","Slightly","Slightly","Important","No","Yes","No","Yes","","","","Often","Rarely","Often","Slightly","Slightly","Important","Moderately","Moderately","Moderately","Important","Slightly","Slightly","Important","Important","Not at all","","","","","","","","","Agree","Agree","Agree","Agree","Strongly agree","Always","Often","Sometimes","Often","Rarely","Rarely","Rarely","Sometimes","Never","Sometimes","Often","Often","Often","Sometimes","Little amount","Pay enough","Pay enough","Pay enough","Pay enough","All items","Design","","","","","","",4,3,4,6,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"2","Abruzzo","89538de5-119e-47f8-97af-49f7061cc2c4",15,10,35,35,40,"Female",45,2,"Postsecondary education","0-15000€","Not at all","Important","Important","Important","Important","Important","Important","Moderately","Important","Not at all","Not at all","Important","Yes","Yes","Yes","Yes","Never","Never","Never","Often","Never","Often","","","","","","","","Important","Slightly","Important","Important","Not at all","","","","","","","","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Always","Always","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","Environment","All items","Important","Important","Important","Important","Important","Not at all",10,10,10,10,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"3","Abruzzo","2077701e-2908-4af7-b133-0770825699f2",10,3,20,30,25,"Female",48,1,"Secondary school","Preferisco non rispondere","Not at all","Slightly","Important","Important","Important","Important","Important","Moderately","Important","Not at all","Not at all","Slightly","Yes","Yes","Yes","","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","","","","","","","","Slightly","Slightly","Slightly","Not at all","Not at all","","","","","","","","","Undecided","Undecided","Undecided","Undecided","Undecided","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Often","Rarely","Rarely","Rarely","Often","Rarely","Rarely","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","Environment","All items","Moderately","Moderately","Moderately","Not at all","Not at all","Not at all",10,10,10,10,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"4","Abruzzo","98dddb54-2ae9-417c-a0de-c0463f77c97d",10,3,12,12,12,"Female",38,4,"Postsecondary education","","Moderately","Important","Very important","Very important","Important","Important","Important","Important","Important","Slightly","Slightly","Important","No","Yes","No","Yes","","","","Often","Sometimes","Often","Slightly","Slightly","Important","Slightly","Very important","Important","Slightly","Slightly","Not at all","Important","Important","Not at all","","","","","","","","","Agree","Agree","Agree","Undecided","Disagree","Always","Sometimes","Sometimes","Often","Never","Never","Never","Often","Never","Sometimes","Rarely","Often","Often","Often","Nothing","Pay enough","Little amount","Pay enough","Pay enough","All items","All items","","","","","","",7,7,9,10,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"5","Abruzzo","b30b4300-8018-4525-9715-71cd0fc3edd2",15,5,20,15,15,"Female",39,4,"Postsecondary education","15000€-30000€","Slightly","Important","Very important","Very important","Important","Important","Moderately","Moderately","Moderately","Slightly","Not at all","Moderately","Yes","Yes","Yes","Yes","Sometimes","Never","Sometimes","Often","Often","Often","","","","","","","","Moderately","Very important","Very important","Important","Not at all","","","","","","","","","Strongly agree","Undecided","Agree","Strongly agree","Strongly agree","Always","Often","Sometimes","Sometimes","Rarely","Often","Often","Always","Often","Sometimes","Sometimes","Often","Often","Often","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","Environment","Production","Moderately","Important","Moderately","Important","Important","Not at all",6,8,8,9,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"6","Abruzzo","6685485c-3a8f-4ae2-bc41-148e0ea3d441",10,4,10,15,15,"Female",32,5,"Postsecondary education","0-15000€","Important","Very important","Very important","Very important","Very important","Slightly","Moderately","Very important","Important","Moderately","Not at all","Slightly","Yes","Yes","Yes","No","Rarely","Never","Rarely","","","","","","","","","","","","","","","","Moderately","Moderately","Moderately","Slightly","Slightly","Slightly","Slightly","Not at all","Agree","Undecided","Undecided","Strongly agree","Agree","Always","Rarely","Never","Often","Never","Often","Never","Often","Rarely","Rarely","Rarely","Sometimes","Rarely","Rarely","Pay enough","Pay enough","Pay enough","Large amount","Large amount","Economy","After-sale","Very important","Moderately","Very important","Very important","Important","Not at all",6,9,9,9,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"7","Abruzzo","8e828b73-1122-4d00-9bc3-436a79d31c68",2,1,4,4,4,"Female",32,4,"Postsecondary education","15000€-30000€","Not at all","Moderately","Moderately","Important","Important","Important","Important","Important","Important","Slightly","Slightly","Slightly","No","No","No","No","","","","","","","Not at all","Important","Slightly","Slightly","Important","Moderately","Slightly","","","","","","Slightly","Important","Important","Important","Slightly","Slightly","Slightly","Slightly","Agree","Undecided","Undecided","Undecided","Undecided","Rarely","Often","Often","Often","Rarely","Often","Rarely","Sometimes","Never","Often","Often","Often","Rarely","Often","Little amount","Little amount","Little amount","Little amount","Little amount","All items","All items","","","","","","",8,9,9,9,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"8","Abruzzo","9240f197-21e9-48a1-bd1b-6135eac3a6e1",10,5,10,10,10,"Male",25,4,"Postsecondary education","15000€-30000€","Important","Important","Moderately","Moderately","Important","Important","Very important","Important","Important","Moderately","Moderately","Important","Yes","Yes","Yes","Yes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","","","","","","","","Important","Important","Moderately","Slightly","Moderately","","","","","","","","","Agree","Agree","Undecided","Agree","Agree","Often","Often","Sometimes","Sometimes","Often","Always","Often","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Often","Pay enough","Pay enough","Little amount","Pay enough","Pay enough","Economy","Production","Important","Moderately","Important","Important","Important","Moderately",7,7,6,7,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"9","Abruzzo","dbff68f7-1b54-4ae7-a803-9fbbadc53c31",10,3,2,1,15,"Male",31,2,"Postsecondary education","30000€-45000€","Slightly","Moderately","Moderately","Moderately","Slightly","Moderately","Slightly","Moderately","Important","Moderately","Moderately","Slightly","Yes","Yes","Yes","No","Rarely","Sometimes","Rarely","","","","","","","","","","","","","","","","Moderately","Moderately","Important","Moderately","Moderately","Slightly","Moderately","Slightly","Disagree","Agree","Undecided","Disagree","Disagree","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Often","Sometimes","Rarely","Little amount","Pay enough","Little amount","Little amount","Little amount","Economy","Production","Moderately","Important","Slightly","Moderately","Slightly","Important",5,5,5,3,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"10","Abruzzo","c1bbd536-5bde-41d5-a986-f17c62ec2b29",10,5,10,12,12,"Male",25,4,"Postsecondary education","15000€-30000€","Important","Moderately","Moderately","Important","Important","Moderately","Moderately","Moderately","Important","Important","Very important","Important","Yes","Yes","Yes","Yes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","","","","","","","","Important","Moderately","Moderately","Important","Slightly","","","","","","","","","Undecided","Agree","Agree","Undecided","Agree","Rarely","Sometimes","Often","Sometimes","Often","Often","Often","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Pay enough","Pay enough","Little amount","Pay enough","Large amount","Society","Production","Important","Moderately","Important","Important","Very important","Moderately",7,6,5,6,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
