wtp_new,wtp_second,wtp_bio,wtp_recycle,wtp_workers,female,age,people_living,education,income,region,i_clothes_fashion,i_clothes_versatile,i_clothes_need,i_clothes_size,i_clothes_fit,i_clothes_easy,i_clothes_quality,i_clothes_cheap,i_clothes_value,i_clothes_know,i_clothes_prestigious,i_clothes_environment,second_stuff_dummy,bio_item_dummy,second_clothes_dummy,bio_clothes_dummy,second_precovid,second_covid,second_postcovid,bio_postcovid,bioc_covid,bio_precovid,no_second_app,no_second_quality,no_second_shop,no_second_environment,no_second_clean,no_second_size,no_second_fashion,bio_eco,bio_vintage,bio_quality,bio_pollution,bio_peer,no_bio_app,no_bio_expensive,no_bio_shop,no_bio_environment,no_bio_rare,no_bio_style,no_bio_fashion,no_bio_quality,poll_chemical_synt,poll_chemical_nat,poll_dye,poll_water,poll_biodegradable,pro_recycle,pro_label,pro_brown_firms,pro_packaging,pro_pub_transport,pro_pack_reuse,pro_donation,pro_reuse,pro_second_clothes,pro_label_clothes,pro_temp_clothes,pro_quality_clothes,pro_bio1_clothes,pro_bio2_clothes,wtp_cert_quality,wtp_cert_bio,wtp_cert_recycle,wtp_cert_workers,wtp_cert_workers_env,sustainable_sector,sustainable_phases,second_eco,second_vintage,second_quality,second_endlife,second_pollution,second_peer,sustainable_fashion_item1,sustainable_fashion_item2,sustainable_fashion_item3,sustainable_fashion_item4
10,7,18,16,16,Male,27,4,Postsecondary education,15000€-30000€,Puglia,Slightly,Moderately,Important,Important,Important,Moderately,Important,Slightly,Moderately,Moderately,Slightly,Moderately,Yes,Yes,Yes,Yes,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,,,,,,,,Slightly,Slightly,Slightly,Moderately,Important,,,,,,,,,Undecided,Undecided,Disagree,Agree,Agree,Rarely,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Pay enough,Little amount,Pay enough,Large amount,Large amount,All items,Production,Moderately,Important,Slightly,Slightly,Slightly,Slightly,3,5,8,5
9,1,15,9,9,Male,25,5,Postsecondary education,15000€-30000€,Puglia,Moderately,Moderately,Very important,Very important,Very important,Not at all,Important,Moderately,Very important,Moderately,Moderately,Moderately,Yes,Yes,Yes,Yes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,,,,,,,Moderately,Slightly,Slightly,Very important,Slightly,,,,,,,,,Agree,Undecided,Agree,Agree,Agree,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Never,Rarely,Rarely,Never,Nothing,Pay enough,Pay enough,Nothing,Pay enough,Environment,Production,Very important,Slightly,Very important,Very important,Moderately,Not at all,10,9,6,9
10,5,10,10,10,Male,25,4,Postsecondary education,15000€-30000€,Abruzzo,Important,Important,Moderately,Moderately,Important,Important,Very important,Important,Important,Moderately,Moderately,Important,Yes,Yes,Yes,Yes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,,,,,,,,Important,Important,Moderately,Slightly,Moderately,,,,,,,,,Agree,Agree,Undecided,Agree,Agree,Often,Often,Sometimes,Sometimes,Often,Always,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Pay enough,Pay enough,Little amount,Pay enough,Pay enough,Economy,Production,Important,Moderately,Important,Important,Important,Moderately,7,7,6,7
4,2,4,5,5,Male,30,4,Secondary school,15000€-30000€,Lombardia,Moderately,Important,Moderately,Very important,Important,Moderately,Moderately,Important,Important,Moderately,Slightly,Slightly,Yes,Yes,Yes,Yes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Slightly,Moderately,Slightly,Slightly,,,,,,,,,Agree,Undecided,Agree,Undecided,Agree,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Little amount,Little amount,Little amount,Little amount,Little amount,Environment,All items,Moderately,Slightly,Moderately,Moderately,Slightly,Slightly,7,8,5,8
5,2,4,4,5,Male,19,4,Secondary school,30000€-45000€,Lombardia,Not at all,Slightly,Slightly,Important,Very important,Important,Important,Important,Very important,Not at all,Not at all,Slightly,Yes,No,No,No,,,,,,,Moderately,Important,Slightly,Moderately,Very important,Important,Slightly,,,,,,Moderately,Moderately,Slightly,Moderately,Moderately,Important,Slightly,Very important,Undecided,Agree,Undecided,Undecided,Strongly agree,Often,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Often,Never,Rarely,Rarely,Often,Never,Rarely,Little amount,Little amount,Little amount,Pay enough,Pay enough,Environment,Production,,,,,,,8,7,4,4
5,2,6,4,5,Male,39,3,Postsecondary education,0-15000€,Piemonte,Moderately,Important,Important,Very important,Important,Moderately,Important,Very important,Very important,Important,Moderately,Slightly,Yes,Yes,Yes,Yes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,,,,,,,Important,Important,Very important,Moderately,Not at all,,,,,,,,,Undecided,Disagree,Agree,Strongly agree,Agree,Always,Sometimes,Rarely,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Economy,All items,Important,Slightly,Moderately,Not at all,Not at all,Not at all,7,4,3,8
15,3,20,15,20,Female,41,1,Secondary school,0-15000€,Lazio,Moderately,Important,Important,Very important,Very important,Moderately,Moderately,Important,Important,Slightly,Not at all,Moderately,Yes,Yes,Yes,Yes,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,,,,,,,,Very important,Not at all,Important,Moderately,Slightly,,,,,,,,,Strongly agree,Undecided,Agree,Strongly agree,Agree,Often,Sometimes,Rarely,Sometimes,Always,Sometimes,Rarely,Always,Sometimes,Often,Never,Often,Sometimes,Sometimes,Pay enough,Large amount,Little amount,Pay enough,Large amount,Environment,All items,Very important,Not at all,Important,Slightly,Moderately,Slightly,9,7,6,7
5,3,5,5,5,Male,44,3,Postsecondary education,15000€-30000€,Lombardia,Not at all,Important,Important,Very important,Very important,Important,Important,Important,Very important,Not at all,Not at all,Moderately,Yes,Yes,Yes,Yes,Rarely,Never,Rarely,Never,Never,Rarely,,,,,,,,Moderately,Slightly,Important,Moderately,Not at all,,,,,,,,,Agree,Strongly disagree,Agree,Strongly agree,Undecided,Always,Sometimes,Rarely,Often,Sometimes,Often,Never,Always,Rarely,Rarely,Never,Always,Sometimes,Rarely,Little amount,Little amount,Little amount,Little amount,Little amount,Environment,Production,Moderately,Important,Very important,Slightly,Slightly,Not at all,8,7,8,8
5,2,7,7,5,Male,21,3,Secondary school,15000€-30000€,Lazio,Very important,Important,Very important,Very important,Important,Moderately,Very important,Slightly,Important,Important,Moderately,Moderately,Yes,Yes,No,Yes,,,,Rarely,Often,Sometimes,Slightly,Important,Slightly,Slightly,Very important,Important,Important,Important,Important,Very important,Moderately,Important,,,,,,,,,Agree,Agree,Undecided,Agree,Strongly agree,Sometimes,Rarely,Often,Rarely,Never,Often,Always,Sometimes,Never,Rarely,Rarely,Often,Sometimes,Often,Pay enough,Large amount,Large amount,Pay enough,Large amount,Environment,Production,,,,,,,6,8,6,9
10,5,7,5,7,Male,35,5,Secondary school,30000€-45000€,Lazio,Moderately,Very important,Very important,Very important,Very important,Important,Important,Moderately,Important,Slightly,Slightly,Slightly,Yes,Yes,Yes,Yes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Slightly,Slightly,Moderately,Slightly,Not at all,,,,,,,,,Undecided,Disagree,Agree,Undecided,Agree,Often,Sometimes,Never,Sometimes,Rarely,Often,Never,Often,Sometimes,Sometimes,Often,Always,Rarely,Rarely,Little amount,Little amount,Nothing,Little amount,Pay enough,All items,All items,Important,Very important,Very important,Moderately,Slightly,Not at all,6,7,7,9
4,1,7,6,4,Male,26,4,Postsecondary education,15000€-30000€,Piemonte,Moderately,Very important,Very important,Very important,Very important,Important,Important,Very important,Very important,Moderately,Important,Very important,Yes,Yes,Yes,Yes,Sometimes,Never,Never,Never,Never,Sometimes,,,,,,,,Important,Moderately,Important,Important,Slightly,,,,,,,,,Agree,Undecided,Undecided,Agree,Agree,Always,Always,Often,Always,Often,Often,Sometimes,Always,Sometimes,Often,Sometimes,Always,Often,Always,Little amount,Pay enough,Pay enough,Pay enough,Large amount,All items,All items,Important,Moderately,Important,Important,Very important,Slightly,7,4,8,9
15,8,18,16,20,Male,21,4,Postsecondary education,45000€-60000€,Emilia Romagna,Moderately,Important,Important,Very important,Important,Slightly,Important,Moderately,Important,Important,Important,Very important,Yes,Yes,Yes,Yes,Rarely,Never,Never,Often,Often,Often,,,,,,,,Moderately,Important,Very important,Very important,Important,,,,,,,,,Agree,Agree,Undecided,Disagree,Agree,Often,Often,Often,Always,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Always,Often,Pay enough,Large amount,Large amount,Pay enough,Large amount,Environment,All items,Moderately,Important,Important,Important,Important,Slightly,7,7,6,8
20,10,20,20,20,Male,27,3,Postsecondary education,15000€-30000€,Sicilia,Moderately,Very important,Important,Very important,Very important,Important,Important,Important,Very important,Important,Moderately,Moderately,Yes,No,Yes,No,Sometimes,Rarely,Rarely,,,,,,,,,,,,,,,,Moderately,Very important,Important,Moderately,Moderately,Slightly,Slightly,Slightly,Undecided,Agree,Undecided,Agree,Undecided,Always,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Never,Rarely,Pay enough,Little amount,Little amount,Pay enough,Pay enough,Environment,Production,Important,Slightly,Important,Moderately,Moderately,Slightly,6,5,7,6
